Usuario,Inicio_Sprint,Fim_Sprint,PRs Criadas,PRs Aceitas,PRs Revisadas,Issues Identificadas,Issues Aceitas,Produtividade PRs Percentual,Taxa Aceitacao Issues Percentual
OtavioAugustoGomeseSouza,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
bieu-bonfim,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
GuilhermePianetti,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
DalmoRainer,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
igornnsilva,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
melissaalanis,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
ManoelCosta0,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
CarlosMMCosta,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
gabriel2036,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
caioomenezes,2025-09-01,2025-09-06,1,1,0,0,0,100.0,0
nunesfnj,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
Emily-Lopes,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
ArthurTBorges,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
AykOwO,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
matheus-junio-da-silva,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
Eufrausino,2025-09-01,2025-09-06,1,1,1,0,0,100.0,0
ClarissonBento,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
Analucia26,2025-09-01,2025-09-06,1,0,1,0,0,0.0,0
luizcbs,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
cristinaleticia,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
Luanatavvares,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
EdgarAlvesUFV,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
amandacmelo,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
El3ci0Sz,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
ProjetoIntegradorUFV,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
DuduO6,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
alinec-santos,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
Rafael-Chang,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
PaulaRMares,2025-09-01,2025-09-06,0,0,0,0,0,0.0,0
